Col,Row,Endpoint,Pollutant,Author,Race,Ethnicity,Start Age,End Age,Version,Point Estimate,Population,Delta,Mean,Baseline,Percentile 2.5,Percentile 97.5,Pooling Name,Grid Definition,Formatted Results [2 s.f.],Formatted Results [3 s.f.]
1,1,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,2241.36694335938,0,0,20055.40625,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,3,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,4327.705078125,0,0,38890.4140625,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,5,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,2179.01123046875,0,0,19576.48046875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,7,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,710.99169921875,0,0,6413.02978515625,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,9,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,366.349639892578,0,0,3301.23193359375,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,11,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1213.90380859375,0,0,11008.193359375,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,13,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1692.16589355469,0,0,15182.296875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,15,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,5130.98828125,0,0,45860.7421875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,17,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,2220.34594726563,0,0,20015.365234375,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,19,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,261.272125244141,0,0,2336.86889648438,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,21,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1069.9384765625,0,0,9641.9140625,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,23,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,897.428039550781,0,0,8053.0126953125,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,25,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1943.10424804688,0,0,17469.837890625,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,27,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,410.859008789063,0,0,3690.22290039063,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,29,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,144.167922973633,0,0,1280.2060546875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,31,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1668.63403320313,0,0,14995.1953125,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,33,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1469.43640136719,0,0,13305.591796875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,35,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1066.541015625,0,0,9574.751953125,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,37,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,1.84904763500526E-06,514.735473632813,4.76837158203125E-07,1.83369411388412E-06,4603.05859375,-9.67218852565566E-07,4.56224552181084E-06,Asthma Exacerbation,County,"0.0000018
(-0.00000097 to 0.0000046)","0.00000185
(-0.000000967 to 0.00000456)"
1,39,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,1116.99963378906,0,0,10073.13671875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
1,41,Asthma Exacerbation  Cough,PM2.5,Ostro et al.,BLACK,,6,18,1,0,629.658264160156,0,0,5685.2919921875,0,0,Asthma Exacerbation,County,"0.0
(0.0 to 0.0)","0.0
(0.0 to 0.0)"
