Col,Row,Name,Endpoint,Pollutant,Author,Race,Ethnicity,Start Age,End Age,Version,Point Estimate,Mean,Percentile 2.5,Percentile 97.5,Formatted Results [2 s.f.],Formatted Results [3 s.f.]
1,1,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.07759088,-0.07686922,-0.191835701465607,0.0404119864106178,"-0.078
(-0.19 to 0.040)","-0.0776
(-0.192 to 0.0404)"
1,3,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.1651393,-0.1636034,-0.408290445804596,0.0860101878643036,"-0.17
(-0.41 to 0.086)","-0.165
(-0.408 to 0.0860)"
1,5,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04433444,-0.04392209,-0.109612494707108,0.0230908915400505,"-0.044
(-0.11 to 0.023)","-0.0443
(-0.110 to 0.0231)"
1,7,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03146748,-0.03117481,-0.0778002068400383,0.0163893401622772,"-0.031
(-0.078 to 0.016)","-0.0315
(-0.0778 to 0.0164)"
1,9,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02024812,-0.0200598,-0.0500614643096924,0.0105459131300449,"-0.020
(-0.050 to 0.011)","-0.0202
(-0.0501 to 0.0105)"
1,11,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02700752,-0.02675633,-0.0667734071612358,0.0140664428472519,"-0.027
(-0.067 to 0.014)","-0.0270
(-0.0668 to 0.0141)"
1,13,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04727666,-0.04683695,-0.116886839270592,0.024623304605484,"-0.047
(-0.12 to 0.025)","-0.0473
(-0.117 to 0.0246)"
1,15,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.2293572,-0.2272239,-0.567062735557556,0.119457066059113,"-0.23
(-0.57 to 0.12)","-0.229
(-0.567 to 0.119)"
1,17,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.08876807,-0.08794245,-0.219470232725143,0.0462334491312504,"-0.089
(-0.22 to 0.046)","-0.0888
(-0.219 to 0.0462)"
1,19,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01124605,-0.01114145,-0.0278047285974026,0.00585732609033585,"-0.011
(-0.028 to 0.0059)","-0.0112
(-0.0278 to 0.00586)"
1,21,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04185203,-0.04146277,-0.103474967181683,0.0217979662120342,"-0.042
(-0.10 to 0.022)","-0.0419
(-0.103 to 0.0218)"
1,23,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02887602,-0.02860745,-0.0713930875062943,0.0150396199896932,"-0.029
(-0.071 to 0.015)","-0.0289
(-0.0714 to 0.0150)"
1,25,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.06593929,-0.065326,-0.163028314709663,0.0343434363603592,"-0.066
(-0.16 to 0.034)","-0.0659
(-0.163 to 0.0343)"
1,27,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01880363,-0.01862874,-0.0464901030063629,0.00979357399046421,"-0.019
(-0.046 to 0.0098)","-0.0188
(-0.0465 to 0.00979)"
1,29,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.007610545,-0.007539761,-0.018816314637661,0.0039638327434659,"-0.0076
(-0.019 to 0.0040)","-0.00761
(-0.0188 to 0.00396)"
1,31,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03678925,-0.03644707,-0.0909577310085297,0.0191610977053642,"-0.037
(-0.091 to 0.019)","-0.0368
(-0.0910 to 0.0192)"
1,33,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.0338995,-0.03358421,-0.0838131308555603,0.0176560208201408,"-0.034
(-0.084 to 0.018)","-0.0339
(-0.0838 to 0.0177)"
1,35,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03252561,-0.03222309,-0.0804163217544556,0.0169404484331608,"-0.033
(-0.080 to 0.017)","-0.0325
(-0.0804 to 0.0169)"
1,37,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01954584,-0.01936405,-0.0483251512050629,0.0101801436394453,"-0.020
(-0.048 to 0.010)","-0.0195
(-0.0483 to 0.0102)"
1,39,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02946604,-0.02919198,-0.072851836681366,0.0153469229117036,"-0.029
(-0.073 to 0.015)","-0.0295
(-0.0729 to 0.0153)"
1,41,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01663067,-0.01647599,-0.0411176830530167,0.00866182520985603,"-0.017
(-0.041 to 0.0087)","-0.0166
(-0.0411 to 0.00866)"
1,43,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02514982,-0.0249159,-0.0621804222464561,0.0130988843739033,"-0.025
(-0.062 to 0.013)","-0.0251
(-0.0622 to 0.0131)"
1,45,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03839913,-0.03804198,-0.0949380099773407,0.0199995804578066,"-0.038
(-0.095 to 0.020)","-0.0384
(-0.0949 to 0.0200)"
1,47,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.1898932,-0.188127,-0.469492048025131,0.0989028811454773,"-0.19
(-0.47 to 0.099)","-0.190
(-0.469 to 0.0989)"
1,49,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.02152512,-0.02132492,-0.0532187297940254,0.0112110208719969,"-0.022
(-0.053 to 0.011)","-0.0215
(-0.0532 to 0.0112)"
1,51,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.106264,-0.1052756,-0.262727081775665,0.0553459152579308,"-0.11
(-0.26 to 0.055)","-0.106
(-0.263 to 0.0553)"
1,53,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.07515037,-0.07445142,-0.185801818966866,0.0391408875584602,"-0.075
(-0.19 to 0.039)","-0.0752
(-0.186 to 0.0391)"
1,55,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.1233886,-0.122241,-0.305065989494324,0.0642649978399277,"-0.12
(-0.31 to 0.064)","-0.123
(-0.305 to 0.0643)"
1,57,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01826639,-0.01809649,-0.0451618209481239,0.00951375998556614,"-0.018
(-0.045 to 0.0095)","-0.0183
(-0.0452 to 0.00951)"
1,59,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.00963833,-0.009548686,-0.023829810321331,0.00501997163519263,"-0.0096
(-0.024 to 0.0050)","-0.00964
(-0.0238 to 0.00502)"
1,61,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01166611,-0.01155761,-0.0288432985544205,0.00607611052691936,"-0.012
(-0.029 to 0.0061)","-0.0117
(-0.0288 to 0.00608)"
1,63,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04095956,-0.0405786,-0.10126843303442,0.0213331412523985,"-0.041
(-0.10 to 0.021)","-0.0410
(-0.101 to 0.0213)"
1,65,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05450799,-0.05400102,-0.134765595197678,0.0283896252512932,"-0.055
(-0.13 to 0.028)","-0.0545
(-0.135 to 0.0284)"
1,67,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.01284821,-0.01272871,-0.031765915453434,0.00669178739190102,"-0.013
(-0.032 to 0.0067)","-0.0128
(-0.0318 to 0.00669)"
